0id,0label,0speaker,0take,0id,1amplitude,1length,label
5_nicolas_9.wav,5,nicolas,9,5_nicolas_9.wav,0.0384884,7440,i
3_yweweler_14.wav,3,yweweler,14,3_yweweler_14.wav,0.0055082603,6742,threeree
1_lucas_5.wav,1,lucas,5,1_lucas_5.wav,0.028301653,7431,one
2_george_44.wav,2,george,44,2_george_44.wav,0.039489824,7045,so
4_yweweler_38.wav,4,yweweler,38,4_yweweler_38.wav,0.006017736,8448,oh
3_yweweler_28.wav,3,yweweler,28,3_yweweler_28.wav,0.010768607,6263,free
4_yweweler_10.wav,4,yweweler,10,4_yweweler_10.wav,0.0063843187,7988,for
3_george_1.wav,3,george,1,3_george_1.wav,0.033576723,11012,see
1_nicolas_15.wav,1,nicolas,15,1_nicolas_15.wav,0.0338254,6475,one
1_jackson_42.wav,1,jackson,42,1_jackson_42.wav,0.062014986,13787,one
0_theo_46.wav,0,theo,46,0_theo_46.wav,0.0034235616,8818,zero
6_lucas_9.wav,6,lucas,9,6_lucas_9.wav,0.019207751,10659,six
5_nicolas_48.wav,5,nicolas,48,5_nicolas_48.wav,0.03404722,9160,all
9_jackson_43.wav,9,jackson,43,9_jackson_43.wav,0.05277591,13677,nine
9_nicolas_14.wav,9,nicolas,14,9_nicolas_14.wav,0.028518485,9339,nine
4_nicolas_7.wav,4,nicolas,7,4_nicolas_7.wav,0.043924354,6497,oh
1_nicolas_29.wav,1,nicolas,29,1_nicolas_29.wav,0.030235782,7029,one
4_jackson_0.wav,4,jackson,0,4_jackson_0.wav,0.0700997,10221,for
1_lucas_43.wav,1,lucas,43,1_lucas_43.wav,0.013669265,15692,one
5_jackson_23.wav,5,jackson,23,5_jackson_23.wav,0.052062027,8950,five
7_george_9.wav,7,george,9,7_george_9.wav,0.03728066,12533,heven
9_nicolas_28.wav,9,nicolas,28,9_nicolas_28.wav,0.034497984,10433,nine
5_jackson_37.wav,5,jackson,37,5_jackson_37.wav,0.04045771,8617,
2_jackson_20.wav,2,jackson,20,2_jackson_20.wav,0.03933495,10662,to
2_jackson_34.wav,2,jackson,34,2_jackson_34.wav,0.041318692,10761,to
7_yweweler_41.wav,7,yweweler,41,7_yweweler_41.wav,0.0035223493,11885,seven
4_theo_11.wav,4,theo,11,4_theo_11.wav,0.0048668957,7426,four
7_nicolas_2.wav,7,nicolas,2,7_nicolas_2.wav,0.033214986,9838,seven
